"","YOB","GrandParentType","CoupleType","BirthPlaceMom","BirthPlaceDad","LAHusband","LAWife","HusbandEducation","WifeEducation","Husband_ftotval","Fertility"
"258",1994,"Hispanic maternal grandfather","White-White","USA","USA",0,0,14.61,14.61,10.9324986934662,2.17415730337079
"259",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","Colombia","Colombia",1,1,12.9090909090909,12.9090909090909,10.3116277694702,1.96296296296296
"260",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","Colombia","Mexico",1,1,16,16,10.3830413818359,1
"261",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","Cuba","Cuba",1,1,15,15,10.1420736312866,2
"262",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","Dominican Republic","Dominican Republic",1,1,10.2307692307692,10.2307692307692,5.65149084726969,2.26086956521739
"263",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","El Salvador",1,1,10.952380952381,10.952380952381,9.82595975058419,2
"264",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","Mexico",1,1,10,10,10.6613101959229,2.38461538461538
"265",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","Mexico","Mexico",1,1,9.12804878048781,9.12804878048781,9.88854169050853,2.61111111111111
"266",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","Nicaragua","Nicaragua",1,1,15.25,15.25,9.97704362869263,1.9
"267",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","Peru","Peru",1,1,13.6,13.6,9.53502941131592,1.4
"268",1994,"Hispanic paternal grandfather","Hispanic-Hispanic","USA","USA",1,1,12.8571428571429,12.8571428571429,10.3958982467651,2.125
"269",1994,"Hispanic paternal grandfather","White-White","USA","Cuba",0,0,14.0952380952381,14.0952380952381,10.847169303894,1.7
"270",1994,"Hispanic paternal grandfather","White-White","USA","El Salvador",0,0,13.7142857142857,13.7142857142857,10.6343078613281,1.72727272727273
"271",1994,"Hispanic paternal grandfather","White-White","USA","Mexico",0,0,10.6666666666667,10.6666666666667,10.049382686615,2.22916666666667
"272",1994,"Hispanic paternal grandfather","White-White","USA","USA",0,0,15.1283422459893,15.1283422459893,10.8363692353411,2.04738154613466
"273",1994,"Hispanic paternal grandmother","White-White","USA","USA",0,0,14.8823529411765,14.8823529411765,10.9926553090413,1.84018264840183
